"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","fecha","año","mes","est"
19,7.6,6.77,543,7.3,215.99,23.95,106.49,0.91,0.28,0.138,13.98,14.97,29.4,1.35,6.57,35.92,5.52,2.48,13,300,0.1,0.78,0.655,0.0025,0.105,0.0005,0.05,0.05,0.957,0.189,0.00078,0.1,0.0025,36.6,0.02,1100000,460000,26,14.72,65.99,313,15.39,2020-03-25,"2020","3","RZ-05"
19,7.9,7.3,424,14,140.27,17.44,125.58,0.27,13.71,0.395,0.5,1.05,15.16,0.26,3.42,18,6.7,0.85,15,293,0.1,0.1,1,0.0025,0.067,0.00078,0.05,0.05,1.03,0.125,0.00076,0.1,0.0025,24,0.02,46000,46000,30,5.7,140.27,308,15.16,2020-03-25,"2020","3","RZ-04"
21,7.8,7.05,575,11,220.76,37.76,142.9,0.28,0.3,0.056,6,7.4,10.57,0.39,5.39,29.03,5.14,1.29,17,333,0.1,0.1,0.538,0.0025,0.101,0.0005,0.05,0.05,0.909,0.371,0.00067,0.1,0.0025,40.3,0.021,15000,9300,31,8.56,86.68,350,7.76,2020-03-25,"2020","3","RZ-03"
27,6.7,0.39,1067,150,406.41,68.55,685,1.37,0.19,0.01,6.17,9.43,92.26,2.57,36.84,80.2,8.36,2.32,305,680,3,2.92,13.85,0.0025,0.197,0.00057,0.05,0.05,8.121,0.253,0.0005,0.1,0.0073,116,0.056,11000000,4600000,30,22.08,184.79,985,9.62,2020-03-25,"2020","3","RL-02"
25,8,5.17,927,40,346.93,57.14,275.77,1,0.22,0.01,0.5,1.46,100.24,0.1,1.83,31,5.14,0.63,41,622,0.1,0.45,3.61,0.0025,0.203,0.0005,0.05,0.05,2.158,0.05,0.0005,0.1,0.0025,92.9,0.026,110000,46000,26,2,135.14,663,1.68,2020-03-25,"2020","3","CS-01"
16,7.8,5.49,630,5.2,257,27.96,113.23,0.35,0.29,0.102,19.04,20.5,37.5,1.22,9.99,43.79,9.9,3.74,9,337,0.1,0.37,1.425,0.0038,0.223,0.0005,0.05,0.05,1.131,0.431,0.0005,0.1,0.0051,47.9,0.025,1200000,1200000,23,12.6,72.1,346,20.89,2020-04-07,"2020","4","RZ-05"
17,8,7.01,456,7.8,150.83,20.41,132.53,0.35,8.55,0.086,0.5,1.05,24.52,0.18,2.82,22.63,7.22,1.59,11,321,0.1,0.53,1.165,0.0038,0.128,0.0005,0.05,0.05,0.72,0.051,0.0005,0.1,0.003,32.4,0.02,46000,46000,23,12.41,83.92,332,9.69,2020-04-07,"2020","4","RZ-04"
18,7.7,7.26,581,7.5,249.49,7.53,145.33,0.36,0.19,0.103,4.08,6.17,10,0.19,3.8,28.04,9.53,1.62,7,357,0.1,0.31,1.215,0.0025,0.161,0.0005,0.05,0.05,0.744,0.696,0.0005,0.1,0.0041,50.4,0.02,930,930,27,12.22,96.33,357,6.46,2020-04-07,"2020","4","RZ-03"
20,7.4,5.12,989,31.5,390.17,87.98,223.5,1.61,0.27,0.015,0.5,8.39,56.56,0.12,17.01,103.32,18.17,1.7,124,654,6.5,0.94,4.69,0.0038,0.212,0.00057,0.05,0.05,2.435,0.172,0.0005,0.1,0.0086,115.5,0.025,46000,46000,33,23.31,136.13,778,8.68,2020-04-07,"2020","4","RZ-02"
25,7.4,0.81,1089,17,427.92,70.72,199.09,1,0.11,0.01,6.93,8.85,97.05,2.42,15.36,61.5,7.01,1.82,15,678,0.1,6.05,1.515,0.0074,0.247,0.00053,0.05,0.05,0.427,0.128,0.0005,0.1,0.0083,128.5,0.025,1500000,930000,31,37.04,135.54,693,8.96,2020-04-07,"2020","4","RL-02"
23,7.7,2.07,963,11,352.41,58.32,231.97,1.15,0.34,0.01,0.5,1.11,102.02,0.1,2.86,39.36,12.11,0.68,20,628,0.5,0.27,1.61,0.0025,0.316,0.0005,0.05,0.05,0.512,0.115,0.00057,0.1,0.0057,99.3,0.02,430,230,33,10.34,132.78,648,1.45,2020-04-07,"2020","4","RL-01"
25,8.8,6.97,933,40,361.34,58.13,267.81,1.2,0.17,0.01,0.5,1.11,101.54,0.1,2.22,27.55,6.31,0.55,40,635,0.1,0.1,4.9,0.0063,0.36,0.00283,0.05,0.05,2.523,0.061,0.0005,0.1,0.0123,99,0.022,4600,4600,33,2,133.57,675,1.28,2020-04-07,"2020","4","CS-01"
18,7.7,4,658,11,261.67,28.9,102.59,0.44,0.42,0.01,21.63,25.32,42.38,3.53,23.58,77.74,5.14,3.06,17,349,0.2,0.21,1.06,0.0025,0.161,0.0005,0.05,0.05,1.041,0.337,0.0005,0.1,0.0025,44.3,0.022,46000000,46000000,24,12.13,67.57,366,25.75,2020-05-06,"2020","5","RZ-05"
19,6.7,6.88,526,8.35,169.3,23.95,131.54,0.3,14.91,0.293,5.36,7.9,26.12,0.32,6.03,35.92,5.14,2.81,13,342,0.1,0.1,1.845,0.0025,0.086,0.0005,0.05,0.05,0.828,0.067,0.0005,0.1,0.0025,35.2,0.025,110000,24000,26,8.84,85.69,355,23.1,2020-05-06,"2020","5","RZ-04"
23,6.6,2,564,7.6,213.35,37.39,139.62,0.38,0.33,0.022,4.04,7.96,26.51,0.57,9.39,43.79,5.14,2.08,15,345,0.1,0.1,1.36,0.0025,0.14,0.0005,0.05,0.05,0.817,5.63,0.0005,0.1,0.0025,44.3,0.029,7500000,4300000,26,11.19,83.33,360,8.31,2020-05-06,"2020","5","RZ-03"
22,6.8,4.69,1019,4,380.62,61.86,235.96,1.19,0.1,0.01,0.5,0.98,104.66,0.1,1.57,25.09,5.14,0.73,10,651,0.1,1.34,0.76,0.017,0.163,0.00201,0.05,0.05,0.214,0.115,0.00076,0.1,0.0091,107.5,0.024,15000,15000,28,12.58,136.42,661,0.98,2020-05-11,"2020","5","RL-01"
25,7.7,5.58,983,29,528.61,59.26,248.31,1.34,0.1,0.01,0.5,0.98,106.31,0.1,1.3,29.03,5.14,0.62,30,658,0.1,0.1,2.46,0.0169,0.127,0.00065,0.05,0.05,1.639,0.05,0.00095,0.1,0.0098,104.7,0.041,11000,11000,30,42.18,135.24,688,0.98,2020-05-11,"2020","5","CS-01"
19,7.6,6.51,605,5.3,235.48,27.49,105.34,0.27,0.1,0.01,18.57,20.91,41.89,1.27,24,54.61,5.97,3.63,9,314,0.1,0.1,0.72,0.0025,0.114,0.0005,0.05,0.05,0.887,0.342,0.00077,0.1,0.0052,41.2,0.02,1500000,1500000,30,16.56,68.44,323,20.92,2020-06-03,"2020","6","RZ-05"
20,7.7,6.75,417,3.5,124.64,18.43,119.8,0.27,15.95,0.019,0.5,0.5,24.7,0.12,7.11,18,5.14,1.85,12,293,0.1,0.1,2.04,0.0025,0.169,0.0005,0.05,0.05,0.604,0.051,0.00068,0.1,0.0025,28.1,0.02,1500,1500,33,4.44,67.86,305,15.97,2020-06-03,"2020","6","RZ-04"
24,7.7,6.58,540,3.8,221.57,26.69,150.49,0.52,0.58,0.131,2.7,3.29,25.06,0.1,8.5,18,5.14,1.37,7,329,0.1,0.1,0.9335,0.0025,0.164,0.0005,0.05,0.05,0.525,0.253,0.00084,0.1,0.0025,40.6,0.02,46000,46000,37,7.49,96.13,329,4,2020-06-03,"2020","6","RZ-03"
20,7.2,5.5,771,31,252.73,75.11,158.89,0.58,0.62,0.02,0.5,6.47,21.35,0.1,58.68,95.94,12.83,2.21,194,469,0.1,0.26,0.805,0.0037,0.234,0.0005,0.05,0.05,7.078,1.723,0.00077,0.1,0.0025,81.8,0.044,460000,460000,37,22.29,120.51,663,7.11,2020-06-03,"2020","6","RZ-02"
23,6.8,5.01,1070,2.9,390.77,65.89,253.68,1.07,0.14,0.01,0.5,0.9,108.22,0.1,1.7,34.93,5.14,0.6,17,703,0.1,1.64,0.83,0.0025,0.217,0.00235,0.05,0.05,0.48,0.105,0.0005,0.1,0.0081,116.1,0.02,11000,11000,30,16.46,167.5,720,1.04,2020-06-08,"2020","6","RL-01"
27,7.8,5.73,1001,27,370.68,61.53,253.88,1.07,0.18,0.01,0.5,0.96,104.53,0.1,3.96,32.47,6.5,0.48,39,670,0.1,1.94,1.935,0.0025,0.19,0.00593,0.05,0.05,2.261,0.051,0.0005,0.1,0.0124,103.8,0.027,24000,24000,31,2,84.24,709,1.14,2020-06-08,"2020","6","CS-01"
18,7.2,6.79,172,700,100.04,9.85,38.61,0.68,0.5,0.018,0.5,3.11,10,0.27,22.5,97.71,5.14,0.81,563,267,0.7,0.1,13.4614,0.0028,0.2904,0.0031,0.05,0.05,25.961,0.716,0.0005,0.1,0.0271,10,0.056,4600000,4000000,23,11.05,38.61,830,3.63,2020-07-30,"2020","7","RZ-05"
19,7.5,6.91,147,1500,104.55,10.56,71.69,0.64,5.38,0.03,0.52,6.29,10,0.1,21.36,111.1,5.2,1.01,1709,355,1,0.1,18.285,0.0068,0.7532,0.00336,0.05,0.061,66.032,1.264,0.0005,0.1,0.0537,10,0.129,2400000,2400000,26,9.57,49.2,2064,11.7,2020-07-30,"2020","7","RZ-04"
19,7.3,5.63,169,1100,91.22,9.38,84.06,1.36,5.66,0.204,0.52,5.94,10,0.1,15.87,101.18,6.1,1.21,1400,360,1,0.1,9.5644,0.0061,0.4738,0.00342,0.05,0.05,58.611,1.306,0.0005,0.1,0.0454,10,0.121,460000,240000,27,10.09,45.67,1760,11.8,2020-07-30,"2020","7","RZ-03"
22,7.2,3.1,324,390,126.07,20.56,97.41,0.6,5.55,0.193,2.25,5.59,22.72,0.16,8.76,48.11,5.14,1.32,362,316,0.1,0.1,9.5007,0.0025,0.2567,0.00188,0.05,0.05,23.74,0.367,0.0005,0.1,0.0165,14.4,0.039,110000,110000,33,10.44,55.66,678,11.33,2020-07-30,"2020","7","RZ-02"
24,7.3,6.18,401,27,144.22,21.88,102.32,1.65,0.21,0.057,1.15,3.86,40.2,0.1,5.42,34.22,5.14,1.46,32,287,0.2,0.1,6.2784,0.0047,0.1922,0.00177,0.05,0.05,1.502,0.221,0.0005,0.1,0.0112,30.3,0.02,2400000,2400000,27,10.7,62.33,319,4.13,2020-07-31,"2020","7","RL-01"
22,7.1,2.7,326,270,120.54,21.12,94.86,0.49,2.9,0.228,2.19,5.25,68.91,0.1,7.59,52.08,5.14,1.07,390,202,0.5,0.43,9.3962,0.0032,0.262,0.00177,0.05,0.05,14.465,0.312,0.0005,0.1,0.0216,16.8,0.03,24000,24000,27,11.14,56.25,592,8.38,2020-07-31,"2020","7","CS-01"
19,6.7,7.46,226,350,82.41,12.87,80.72,0.35,5.82,0.194,0.92,2.42,16.69,0.28,8.46,57.54,5.14,0.46,273,223,0.3,0.1,10.41,0.0025,0.243,0.0005,0.05,0.05,21.516,0.323,0.0005,0.1,0.0075,10,0.059,1500000,750000,26,18.27,58.41,496,8.43,2020-08-04,"2020","8","RZ-05"
19,6.7,7.42,201,550,69.7,13.2,77.77,0.41,7.87,0.177,0.63,2.36,13.19,0.14,4.56,41.17,5.14,0.68,390,364,0.2,0.1,11.1,0.0025,0.247,0.0005,0.05,0.05,35.37,0.462,0.00097,0.1,0.0139,10,0.061,75000,43000,30,18.7,52.72,754,10.41,2020-08-04,"2020","8","RZ-04"
20,6.4,7.17,206,700,73.8,9.66,90.93,0.52,6.69,0.126,0.5,2.94,10,0.1,6.39,58.53,5.14,0.34,825,199,0.4,0.1,22.76,0.0059,0.422,0.0005,0.05,0.05,46.836,0.669,0.0008,0.1,0.0152,10,0.088,24000,24000,30,20.44,52.33,1024,9.76,2020-08-04,"2020","8","RZ-03"
22,6.1,5.42,229,850,81.49,12.35,99.97,0.48,3.93,0.228,1.09,2.83,10,0.1,4.68,42.16,5.64,0.85,223,453,0.1,0.1,11.7,0.0028,0.298,0.0005,0.05,0.05,12.428,0.271,0.0005,0.1,0.0134,10,0.07,240000,240000,30,19.75,56.64,676,6.99,2020-08-04,"2020","8","RZ-02"
24,6.4,5.62,348,500,104.86,18.2,111.36,0.74,5.31,0.146,1.44,5.02,55.33,0.1,13.56,77.38,5.55,1.47,779,365,0.4,0.1,19.34,0.0025,0.645,0.00062,0.05,0.05,13.065,0.646,0.00067,0.1,0.0117,19,0.115,110000,110000,31,12.96,80.16,1144,10.48,2020-08-05,"2020","8","RL-01"
22,6.2,4.21,270,400,89.99,15.65,85.43,0.5,3.07,0.249,1.96,3.17,10,0.14,3.72,42.16,5.6,0.94,176,419,0.1,0.1,10.1,0.0025,0.346,0.0005,0.05,0.05,9.88,0.237,0.0005,0.1,0.0202,10,0.07,240000,240000,31,11.74,59.78,595,6.49,2020-08-05,"2020","8","CS-01"
20,6.9,6.86,388,19,118.63,16.47,88.73,0.3,2.53,0.213,4,5.76,14.9,0.19,8.91,33.5,5.14,0.61,29,213,0.1,0.1,1.57,0.0025,0.268,0.00062,0.05,0.05,2.397,0.12,0.0005,0.1,0.0037,11,0.023,4600,4600,23,9.43,54.77,242,8.5,2020-09-01,"2020","9","RZ-05"
19,7.1,7.38,319,22,98.63,13.1,91.89,0.43,6.07,0.1,0.5,1.18,10,0.1,3.98,30,5.14,0.45,83,195,0.2,0.1,2.15,0.0025,0.218,0.00085,0.05,0.05,3.863,0.133,0.0005,0.1,0.0044,10,0.022,15000,15000,27,6.75,54.37,278,7.35,2020-09-01,"2020","9","RZ-04"
21,6.7,5.84,380,60,125.26,12.96,108.84,0.4,1.08,0.184,0.5,1.7,10.9,0.23,6.82,32.5,8.99,0.55,89,243,0.2,0.1,2.87,0.0025,0.145,0.00093,0.05,0.05,5.022,0.183,0.0005,0.1,0.0063,12.4,0.022,150000,150000,27,10.81,62.05,332,2.96,2020-09-01,"2020","9","RZ-03"
22,6.4,6.71,505,360,92.31,20.73,104.31,1,8.55,0.175,0.7,3.76,90.38,0.1,13.44,69.5,5.14,1.18,635,343,0.3,0.1,17.6,0.0056,0.39,0.002,0.05,0.05,16.233,0.424,0.0005,0.1,0.0191,31.3,0.092,210000,14000,19,13.41,65.01,978,12.49,2020-09-02,"2020","9","RL-02"
23,6.3,6.37,462,320,91.6,20.03,101.35,0.74,8.16,0.029,0.5,2.94,11.13,0.1,12.33,69,5.14,1.19,495,442,0.3,0.1,18.24,0.004,0.384,0.00147,0.05,0.05,18.266,0.458,0.0005,0.1,0.018,27.7,0.096,11000000,11000000,22,13.75,62.65,937,11.13,2020-09-02,"2020","9","RL-01"
25,6.6,0.93,1003,50,283.97,27.51,195.01,0.45,2.58,0.01,13.23,19.34,126.1,10.35,119.7,192.08,10.96,2.91,133,513,0.1,7.25,3.96,0.0025,0.146,0.00207,0.05,0.05,3.879,0.196,0.0005,0.1,0.0164,59,0.062,11000000,11000000,23,27.07,111.7,646,21.92,2020-09-02,"2020","9","CS-01"
16,7,6.94,536,11,215.25,26.01,132.75,0.37,0.3,0.112,11.53,16.15,29.29,0.78,31.2,73.9,11.32,2.64,15,301,0.1,0.12,0.795,0.0025,0.16,0.0005,0.103,0.05,1.553,0.312,0.0005,0.1,0.0104,33.5,0.02,2100000,2100000,23,19.5,65.46,316,16.56,2020-10-09,"2020","10","RZ-05"
16,7.2,8.03,341,5.25,124.64,15.93,114.85,0.27,8.67,0.036,0.94,1.93,10,0.11,3.41,18,5.14,0.57,19,210,0.1,0.1,1.315,0.0025,0.101,0.00057,0.05,0.05,0.861,0.05,0.0005,0.1,0.0082,14.4,0.02,750,750,28,5.85,60.56,229,10.64,2020-10-09,"2020","10","RZ-04"
18,6.7,5.42,399,14,153.54,16.67,122.52,0.3,6.05,0.31,1.58,2.46,23.45,0.46,6.03,23.81,5.14,0.74,22,252,0.1,0.1,2.44,0.0025,0.069,0.00056,0.05,0.05,1.342,0.135,0.0005,0.1,0.0203,18.7,0.02,150000,93000,26,8.42,72.13,274,8.82,2020-10-09,"2020","10","RZ-03"
20,6.8,5.63,455,14,176.81,22.38,127.04,0.38,3.84,0.212,4.74,5.27,17.62,0.16,4.14,24.3,5.14,1.43,21,276,0.1,0.1,1.97,0.0025,0.1,0.00058,0.05,0.05,1.188,0.309,0.0005,0.1,0.0102,22,0.02,4600,4600,31,10.45,72.52,297,9.32,2020-10-09,"2020","10","RZ-02"
23,7,6.66,529,65,164.1,29.91,130.78,0.7,5.13,0.214,1.05,3.39,80,0.11,4.07,22.78,5.14,1.34,73,398,0.1,0.1,5.68,0.0043,0.184,0.00055,0.05,0.05,4.531,0.392,0.0005,0.1,0.0111,41.3,0.02,46000,15000,27,13.18,92.71,471,8.73,2020-10-13,"2020","10","RL-02"
25,7,6.9,303,140,113.57,12.17,92.23,0.44,2.12,0.01,0.99,2.98,42.09,0.1,7.56,38.69,5.14,1.04,113,304,0.1,0.12,19.5,0.0025,0.17,0.0005,0.05,0.05,7.378,0.189,0.0005,0.1,0.008,17.7,0.04,4600,430,29,8.19,53.31,417,5.1,2020-10-13,"2020","10","RL-01"
25,8.1,6.71,942,38,344.35,60.42,218.29,1.35,0.1,0.01,0.5,3.04,101.57,0.1,5.26,47.12,8.99,0.48,55,596,0.1,0.63,3.27,0.0179,0.23,0.0008,0.05,0.05,2.054,0.065,0.0005,0.1,0.0143,91.6,0.02,24000,4300,31,2,119.36,651,3.04,2020-10-13,"2020","10","CS-01"
14,7,5.3,687,5.1,285.04,31.16,141.64,0.44,0.1,0.01,19.93,24.34,35.05,3.57,12,48.61,5.14,3.24,23,349,0.1,0.31,1.07,0.0025,0.148,0.00059,0.05,0.05,0.82,0.301,0.0005,0.1,0.0059,41.6,0.02,460000,240000,23,25.65,69.54,372,24.44,2020-11-20,"2020","11","RZ-05"
15,7.1,7.7,419,5.1,141.57,19.74,147.54,0.33,11.53,0.114,0.82,1.12,22.57,0.25,1.94,56.54,5.14,1.61,22,303,0.1,0.1,1.635,0.0025,0.098,0.00068,0.05,0.05,0.491,0.05,0.0005,0.1,0.0056,24.2,0.02,46000,240000,23,12.82,70.53,325,12.76,2020-11-20,"2020","11","RZ-04"
17,6.8,5.8,460,6.8,174.73,19.69,138.29,0.39,5.3,0.01,0.88,2.82,21.8,0.23,3.26,18,5.14,1.2,25,309,0.1,0.1,1.535,0.0025,0.098,0.00081,0.05,0.05,0.705,0.084,0.0005,0.1,0.0055,26.3,0.02,46000,46000,24,12.14,82.74,334,8.12,2020-11-20,"2020","11","RZ-03"
19,7.5,3.77,846,12,285.04,45.23,178.23,2.59,0.72,0.01,2.47,3.41,101.03,0.12,6.11,22.14,5.82,1.99,25,529,0.1,0.31,2.42,0.0025,0.187,0.00097,0.05,0.05,0.857,0.17,0.0005,0.1,0.0103,84.4,0.02,110000,110000,20,18.04,115.25,554,4.13,2020-11-19,"2020","11","RL-02"
20,7,6.72,427,37,168,19.55,116.06,0.57,0.37,0.01,0.76,1.58,37.9,0.1,3.74,19.19,15.23,0.64,52,295,0.1,0.1,4.86,0.0025,0.165,0.00072,0.05,0.05,2.863,0.113,0.0005,0.1,0.0074,33.5,0.02,11000,4600,22,16.42,68.75,347,1.96,2020-11-19,"2020","11","RL-01"
20,8.1,6.95,977,39,349.62,60.6,229.38,1.37,0.1,0.01,0.5,1.94,97.43,0.1,3.85,27.55,8.6,0.54,41,632,0.1,0.1,2.98,0.0028,0.186,0.00061,0.05,0.5,2.165,0.07,0.0005,0.1,0.0107,111.4,0.02,1100000,1100000,24,17.01,137.51,673,1.94,2020-11-19,"2020","11","CS-01"
15,6.9,5.18,691,5.3,277.5,31.54,121.02,0.35,0.1,0.01,23.51,28.02,37.94,3.4,15.96,69.94,14.99,3.82,8,363,0.1,0.59,0.815,0.0025,0.132,0.0005,0.05,0.05,0.676,0.335,0.0005,0.1,0.006,43.3,0.021,460000,240000,25,16.19,76.44,371,28.02,2020-12-08,"2020","12","RZ-05"
16,6.9,7.85,422,4.2,139.09,19.23,121.81,0.43,17.11,0.254,0.59,2.79,14.42,0.22,2.06,18.85,26.07,1.79,10,288,0.1,0.1,0.675,0.0025,0.118,0.0005,0.05,0.05,0.479,0.05,0.00055,0.1,0.0047,24.9,0.02,4600,2400,27,6.34,73.28,298,20.15,2020-12-08,"2020","12","RZ-04"
18,6.9,7.21,492,4.7,192.16,25.36,143.06,0.34,4.95,0.439,1.78,2.43,26.34,0.2,4.33,35.22,9.49,1.38,7,321,0.1,0.1,0.775,0.0096,0.083,0.0005,0.05,0.05,0.471,0.07,0.0005,0.1,0.0054,31.4,0.02,110000,24000,27,8.8,84.71,321,7.82,2020-12-08,"2020","12","RZ-03"
20,7.6,3.64,1060,9.9,363.5,61.86,212.52,1.56,0.1,0.012,3.98,10.09,112.21,0.37,11.79,61.01,5.14,2.41,29,669,0.1,0.27,1.205,0.0103,0.21,0.0007,0.05,0.05,0.559,0.198,0.00052,0.1,0.0118,110.5,0.02,1100000,1100000,21,10.56,125.49,698,10.1,2020-12-09,"2020","12","RL-02"
20,6.9,7.24,435,31.5,182.91,20.45,114.72,0.52,0.32,0.022,2.37,4.81,41.14,0.79,3.39,66.46,23.33,0.72,50,290,0.1,0.1,9.62,0.0034,0.167,0.0005,0.05,0.05,2.371,0.105,0.0005,0.1,0.007,36.4,0.023,4600,2400,24,10.56,62.84,340,5.15,2020-12-09,"2020","12","RL-01"
22,8,5.73,1014,29,352,60.83,224.33,1.63,0.11,0.016,0.5,0.59,113.62,0.1,16.5,24.8,9.96,0.97,51,629,0.1,3,2.98,0.0181,0.246,0.00071,0.05,0.05,1.602,0.05,0.00054,0.1,0.0126,97,0.024,4600000,2400000,26,2,132.38,680,0.72,2020-12-09,"2020","12","CS-01"
12,7.1,4.43,748,5.9,298.45,36.8,117.1,0.37,0.1,0.01,27.95,30.19,43.03,4.2,22.2,72.65,5.14,4.89,14,370,0.1,0.61,0.98,0.0025,0.065,0.0018,0.05,0.05,0.517,0.266,0.0005,0.1,0.0112,59.3,0.094,11000000,11000000,22,13.86,75.2,384,30.2,2021-01-18,"2021","1","RZ-05"
13,7,9.63,443,2.9,135.24,23.02,120.63,0.4,9.29,0.157,0.92,2.52,22.68,0.23,2.88,11.6,5.14,2.11,7,316,0.1,0.31,0.995,0.0025,0.058,0.00076,0.05,0.05,0.332,0.05,0.0005,0.1,0.0078,32.2,0.038,1100000,1100000,23,3.07,77.8,316,11.97,2021-01-18,"2021","1","RZ-04"
14,7.1,9.21,553,14,227.25,28.91,147.89,0.48,0.18,0.051,6.77,10.22,41.1,0.41,12.93,67,5.14,2.01,64,326,0.3,0.7,2.395,0.0025,0.086,0.00126,0.05,0.05,2.107,0.489,0.0005,0.1,0.0112,43,0.041,1100000,460000,24,3.91,88.6,390,10.45,2021-01-18,"2021","1","RZ-03"
19,7,3.2,758,13,294.92,49.58,150.44,0.73,0.1,0.01,4.36,7.17,66.33,0.54,17.58,55.17,5.14,1.69,22,468,0.1,0.86,2.275,0.0025,0.122,0.00187,0.05,0.05,0.533,0.185,0.0005,0.1,0.0149,94.5,0.04,46000000,46000000,21,14.32,89.6,490,7.17,2021-01-19,"2021","1","RL-02"
18,8,7.01,1029,38,369.15,65.28,242.23,1.3,0.13,0.011,0.8,3.04,101.35,0.18,2.32,32.77,5.14,0.13,54,656,0.1,0.1,4.68,0.0025,0.241,0.00261,0.05,0.05,2.264,0.099,0.0005,0.1,0.0189,119.8,0.046,460000,460000,23,2,97.2,710,3.18,2021-01-19,"2021","1","RL-01"
19,8.2,8.52,993,37,361.07,64.03,229.48,1.23,0.1,0.01,1.38,2.12,89.93,0.1,2.42,36.97,5.14,0.52,50,646,0.1,0.1,4.54,0.0025,0.24,0.0021,0.05,0.05,2.146,0.057,0.0005,0.1,0.0175,115.6,0.048,11000000,11000000,26,2,86,696,2.22,2021-01-19,"2021","1","CS-01"
13,7.2,5.17,770,8.3,288.86,39.34,116.7,0.44,0.1,0.01,26.06,23.59,48.01,7.8,20.4,66.57,5.14,3.96,33,407,0.1,1.85,2.32,0.0025,0.093,0.0005,0.05,0.05,0.405,0.22,0.0005,0.1,0.0025,61.5,0.027,110000000,110000000,26,15.07,73.8,440,23.59,2021-02-08,"2021","2","RZ-05"
15,7,7.85,463,2.8,131.2,19.67,127.49,0.39,9.43,0.594,0.69,1.38,23.34,0.27,2.83,5,5.14,1.73,7,325,0.1,0.1,3.31,0.0025,0.078,0.0005,0.05,0.05,0.23,0.05,0.0005,0.1,0.0025,35.2,0.02,460000,240000,30,4.18,75.2,332,11.4,2021-02-08,"2021","2","RZ-04"
16,7,6.47,591,8.6,244.82,27.57,148.48,0.49,0.11,0.032,6.66,8.44,25.99,1.04,8.11,19.77,5.14,1.94,16,351,0.1,0.62,1.42,0.0025,0.086,0.0005,0.05,0.05,1.344,1.36,0.0005,0.1,0.0025,50.3,0.021,11000,4600,28,6.32,83.2,367,8.58,2021-02-08,"2021","2","RZ-03"
