"Actinastrum sp","Anacystis","Ankistrodesmus","Ankistrodesmus falcatus","Aphanizomenon","Aphanocapsa","Arthrospira","Aulacoseira","Botryococcus","Ceratium","Cyclotella","Cylindrospermopsis","Cylindrospermun","Cymbella","Chlorella","Closterium","Coelastrum","Coelosphaerium","Chroococcus","Coscinodiscus","Crucigenia tetrapoda","Crucigenia irregularis","Dyctiosphaerium","Eudorina","Euglena","Gloeocapsa","Gomphosphaeria lacustris","Golenkinia","Fragilaria capuchina","Kirchneriella","Leptolyngbya","Lepocinclis","Lyngbya lagerhemii","Merismopedia","Micractinium","Microcystis sp","Monoraphidium tortilé","Monoraphidium griffithi","Navicula","Nitzschia","Oscillatoria ","Pandorina","Pachycladella","Phacus","Planktothrix","Planktolyngbya sp","Pseudanabaena","Raphidiopsis","Rivularia","Scenedesmus acuminatus","Scenedesmus cuadricauda","Scenedesmus dimorphus","Selenastrum","Snowella","Surirella","Staurastrum","Stephanodiscus","Synechococcus","Tetrastrum","Treubaria","Woronichinia","año","mes","est","fecha"
"6",0,"2",0,0,0,0,0,"5",0,0,"10",0,0,"2","3",0,0,0,0,"15",0,0,0,0,"2","9",0,0,0,0,0,0,"20",0,"9","1",0,"3",0,"16",0,0,"6","13","25",0,0,"2","17",0,"4",0,0,0,0,0,0,0,0,0,"2014","10","LC-01",2014-10-01
0,0,0,0,0,0,0,"2","4",0,0,"3",0,0,"10","1","9",0,0,0,"4",0,0,0,"3","3",0,0,0,"1","8",0,0,"2",0,"6",0,0,"8",0,0,"2",0,0,"15",0,0,0,"1","5",0,0,0,0,0,0,0,0,0,0,0,"2014","10","LC-02",2014-10-01
"2",0,"3","1",0,0,0,"1",0,0,0,"110",0,0,"7",0,"1",0,"5",0,"4",0,0,"2",0,"1",0,0,0,0,"29",0,0,"3",0,"3","2",0,0,"3",0,0,0,0,"12",0,0,"28","1","5","2",0,0,0,0,0,0,0,0,0,0,"2014","10","LC-03",2014-10-01
0,0,"9",0,0,0,0,"1",0,0,"8","437",0,0,"15",0,"2",0,"21",0,"8",0,0,"12",0,0,0,0,0,"1","7",0,0,0,0,"11","13",0,"3","16",0," ",0,0,"16",0,0,0,"96",0,"4","1",0,0,0,0,0,0,"2","2",0,"2014","10","LC-04",2014-10-01
0,0,0,0,0,0,0,"2",0,0,0,"2493",0,0,"11",0,0,0,0,0,0,0,0,"11",0,"1",0,0,0,0,0,0,0,"2",0,"7","3",0,0,"7",0,0,0,0,"12","6",0,"144",0,"3",0,0,0,0,0,0,0,0,0,0,0,"2014","10","LC-05",2014-10-01
0,0,"8",0,0,0,0,"3",0,0,0,"252",0,0,"8",0,0,0,"1",0,0,0,0,"12",0,"1",0,0,0,0,"8",0,0,"6",0,"2","4",0,0,"2",0,0,0,"2","22","1",0,"26",0,"8","5",0,"10",0,0,0,0,0,"3","3",0,"2014","11","LC-01",2014-11-01
"1",0,"6",0,0,0,0,"2",0,0,"7","978",0,0,"37",0,0,0,"6",0,0,0,0,"6",0,"3",0,0,0,0,"9",0,0,"11",0,"7","2",0,"2","4",0,"2",0,"3","35",0,0,"56",0,"4",0,0,"3",0,0,0,0,0,0,0,0,"2014","11","LC-02",2014-11-01
"2",0,"6","1",0,0,0,0,0,0,0,"518",0,"3","14","2",0,0,"4",0,"12",0,0,"13",0,0,0,0,0,"2",0,0,0,"13",0,"3","6",0,"2",0,0,0,0,"3","37","3",0,"23",0,"8",0,"4","6",0,0,0,0,0,0,0,0,"2014","11","LC-03",2014-11-01
0,0,"4",0,0,0,0,"2",0,0,0,"514",0,0,"6",0,0,0,"4",0,0,0,0,"4",0,"2",0,0,0,0,"7",0,0,"4",0,"3","1",0,0,0,0,0,0,"2","32","1",0,"514",0,"3",0,"3",0,0,0,0,0,0,"2","2",0,"2014","11","LC-04",2014-11-01
0,0,"3",0,0,0,0,"3",0,0,0,"572",0,0,"7",0,0,0,"3",0,"1",0,0,"12",0,"1",0,0,0,"1","3",0,0,"9",0,"3","7",0,"2",0,"4","5",0,0,"26",0,0,"68",0,"16",0,"2","17",0,0,0,0,0,0,"4",0,"2014","11","LC-05",2014-11-01
0,0,"2",0,0,0,0,0,0,0,0,"208",0,0,"1",0,0,0,"2",0,0,0,0,0,"4","1",0,0,0,0,"5",0,0,0,0,0,0,0,0,0,0,0,0,"2","14","2",0,"28",0,"5",0,0,0,0,0,0,0,0,0,0,0,"2014","12","LC-01",2014-12-01
"2",0,"6","1",0,0,0,"6",0,0,0,"262",0,0,"25","3",0,0,"12",0,"7",0,0,"11","11","1",0,0,0,"2","23",0,0,"15",0,"3",0,0,"4","4",0,0,0,"19","12","3",0,"38",0,"19",0,0,"2",0,0,0,0,0,"3","2",0,"2014","12","LC-02",2014-12-01
0,0,0,0,0,0,0,0,0,0,0,"1408",0,0,0,"11",0,0,0,0,0,0,0,0,"3","2",0,0,0,0,"12",0,0,0,0,"19",0,0,0,0,"2",0,0,0,"15",0,0,"102",0,0,0,0,0,0,0,0,0,0,0,0,0,"2014","12","LC-03",2014-12-01
"4",0,"3",0,0,0,0,0,0,0,0,"1348",0,0,0,0,0,0,0,0,0,0,0,0,"6",0,0,0,0,"2",0,0,0,"14",0,"6",0,0,0,0,0,0,0,0,"16","7",0,"352",0,0,0,0,0,0,0,0,0,0,0,0,0,"2014","12","LC-04",2014-12-01
"3",0,0,0,0,0,0,0,0,0,0,"4096",0,0,0,0,0,0,0,0,0,0,0,0,0,"4",0,0,0,0,0,0,0,"2",0,0,0,0,0,0,0,0,0,0,"12","15",0,"96",0,0,0,0,0,0,0,0,0,0,0,0,0,"2014","12","LC-05",2014-12-01
"2",0,"3",0,0,0,0,"2",0,0,0,"151",0,0,"2",0,0,0,"1",0,"1",0,0,"2","2","1",0,0,0,0,"3",0,0,"3",0,"2","4",0,"1",0,0,0,0,"1","8","1",0,"19","2","3","3",0,"3",0,0,0,0,0,0,0,0,"2015","1","LC-01",2015-01-01
"2",0,"6","1",0,0,0,"3",0,0,0,"170",0,0,"14","3",0,0,"12",0,"7",0,0,"7","11","2","2",0,0,"2","23",0,0,"11",0,"3","2",0,"4","4",0,0,0,"19","9","3",0,"27","3","13",0,0,"2",0,0,0,0,0,"3","2",0,"2015","1","LC-02",2015-01-01
0,0,0,0,0,0,0,"1",0,0,0,"128",0,0,"4",0,0,0,0,0,"2",0,0,"3",0,"2",0,0,0,0,0,0,0,"2",0,"2","2",0,0,0,0,0,0,0,"9",0,0,"10","5","2",0,"2",0,0,0,0,0,0,0,0,0,"2015","1","LC-03",2015-01-01
"4",0,"2",0,0,0,0,"2",0,0,0,"730",0,0,"3",0,0,0,0,0,0,0,0,"4","6","2",0,0,0,"2",0,0,0,"8",0,"4",0,0,"1",0,0,0,0,0,"12.5","7",0,"182","4","4",0,0,"1",0,0,0,0,0,0,0,0,"2015","1","LC-04",2015-01-01
"2",0,"2",0,0,0,0,"1",0,0,0,"209",0,0,"5",0,0,0,0,0,"1",0,0,"6",0,"2.5",0,0,0,"2",0,0,0,"2",0,"3","2",0,0,0,0,0,0,0,"10","15",0,"54","6","4","1",0,"1",0,0,0,0,0,0,0,0,"2015","1","LC-05",2015-01-01
"2",0,"4",0,0,0,0,"3",0,0,0,"122",0,0,"3",0,0,0,"1",0,"1",0,0,"3","2","1",0,0,0,0,"2",0,0,"4",0,"2","6",0,"1",0,0,0,0,"1","9","1",0,"14","2","3","4",0,"3",0,0,0,0,0,0,0,0,"2015","2","LC-01",2015-02-01
"2",0,"3","1",0,0,0,"2",0,0,0,"124",0,0,"9","3",0,0,"7",0,"5",0,0,"5","11","2","2",0,0,"2","12",0,0,"9",0,"3","2",0,"4","4",0,0,0,"8","7","3",0,"22","3","10",0,0,"2",0,0,0,0,0,"3","2",0,"2015","2","LC-02",2015-02-01
0,0,0,0,0,0,0,"1",0,0,0,"135",0,0,"3",0,0,0,0,0,"2",0,0,"3",0,"2",0,0,0,0,0,0,0,"2",0,"2","1",0,0,0,0,0,0,0,"9",0,0,"10","5","2",0,"2",0,0,0,0,0,0,0,0,0,"2015","2","LC-03",2015-02-01
"4",0,"2",0,0,0,0,"3",0,0,0,"427",0,0,"2",0,0,0,0,0,0,0,0,"4","6","2",0,0,0,"2",0,0,0,"5",0,"3",0,0,"1",0,0,0,0,0,"10","7",0,"97","4","4",0,0,"1",0,0,0,0,0,0,0,0,"2015","2","LC-04",2015-02-01
"2",0,"2",0,0,0,0,"2",0,0,0,"149",0,0,"2",0,0,0,0,0,"1",0,0,"6",0,"2",0,0,0,"2",0,0,0,"2",0,"3","1",0,0,0,0,0,0,0,"9","8",0,"33","6","4","1",0,"1",0,0,0,0,0,0,0,0,"2015","2","LC-05",2015-02-01
"2",0,"5",0,0,0,0,"4",0,0,0,"94",0,0,"4",0,0,0,0,0,"2",0,0,"3",0,"1",0,0,0,0,0,0,0,"5",0,"2","9",0,"2",0,0,0,0,0,"10",0,0,"10","3","4","6",0,"6",0,0,0,0,0,0,0,0,"2015","3","LC-01",2015-03-01
"3",0,0,"1",0,0,0,0,0,0,0,"79",0,0,"4",0,0,0,0,0,0,0,0,"4",0,"3","2",0,0,"2",0,0,0,"7",0,"3","2",0,0,0,0,0,0,0,"6",0,0,"17","3","8",0,0,"3",0,0,0,0,0,0,0,0,"2015","3","LC-02",2015-03-01
0,0,0,0,0,0,0,"1",0,0,0,"128",0,0,"4",0,0,0,0,0,"2",0,0,"3",0,"2",0,0,0,0,0,0,0,"2",0,"2","2",0,0,0,0,0,0,0,"9",0,0,"10","5","2",0,"2",0,0,0,0,0,0,0,0,0,"2015","3","LC-03",2015-03-01
"4",0,"2",0,0,0,0,"4",0,0,0,"125",0,0,"3",0,0,0,0,0,0,0,0,"4",0,"2",0,0,0,0,0,0,0,"2",0,"2",0,0,"1",0,0,0,0,0,"9",0,0,"12","4","4",0,0,"1",0,0,0,0,0,0,0,0,"2015","3","LC-04",2015-03-01
"2",0,"2",0,0,0,0,"3",0,0,0,"89",0,0,"5",0,0,0,0,0,"1",0,0,"6",0,"1",0,0,0,"2",0,0,0,"2",0,"3","2",0,0,0,0,0,0,0,"8",0,0,"12","6","4","1",0,"1",0,0,0,0,0,0,0,0,"2015","3","LC-05",2015-03-01
"2",0,0,"5",0,"4",0,0,0,0,0,"94",0,"10",0,"4",0,0,0,0,0,"2","3",0,0,0,"1",0,0,0,0,0,0,"5",0,"2","9","2",0,0,0,0,0,0,"1",0,"1","10","3","4","6",0,"6",0,0,0,0,0,0,0,0,"2015","4","LC-01",2015-04-01
"3",0,0,0,"3",0,0,0,0,0,0,"79",0,"6",0,"4",0,0,0,0,0,0,"4",0,0,0,"3",0,"2",0,0,0,0,"7",0,"3","2",0,0,0,0,0,0,0,0,0,0,"17","3","8",0,0,"3",0,0,0,0,0,0,0,0,"2015","4","LC-02",2015-04-01
0,0,0,0,0,"1",0,0,0,0,0,"128",0,"9",0,"4",0,0,0,0,0,"2","3",0,0,0,"2",0,0,0,0,0,0,"2",0,"2","2",0,0,0,0,0,0,0,0,0,"2","10","5","2",0,"2",0,0,0,0,0,0,0,0,0,"2015","4","LC-03",2015-04-01
"4",0,0,"2","2","4",0,0,0,0,0,"125",0,"9",0,"3",0,0,0,0,0,0,"4",0,0,0,"2",0,0,0,0,0,0,"2",0,"2",0,"1",0,0,0,0,0,0,"3",0,0,"12","4","4",0,0,"1",0,0,0,0,0,0,0,0,"2015","4","LC-04",2015-04-01
"2",0,0,"2",0,"3",0,0,0,0,0,"89",0,"8",0,"5",0,0,0,0,0,"1","6",0,0,0,"1",0,0,0,0,0,0,"2",0,"3","2",0,0,0,0,0,0,0,"1",0,"1","12","6","4","1",0,"1",0,0,0,0,0,0,0,0,"2015","4","LC-05",2015-04-01
"1",0,"7",0,0,0,0,"1",0,0,0,"1472",0,0,"2",0,0,0,"6",0,0,0,0,"1","1","2",0,0,0,0,0,0,0,"8",0,"2",0,0,"3","2",0,0,0,0,"56",0,0,"38","14","4",0,"3",0,0,0,0,0,0,0,0,0,"2015","5","LC-01",2015-05-01
0,0,"5",0,0,0,0,0,0,0,0,"152",0,0,"2","3",0,0,"2",0,0,0,0,"2","3","3",0,0,0,0,0,0,0,"5",0,"3","4",0,0,"1",0,0,0,"3","16",0,0,"18","25","1","1",0,"3",0,0,0,0,0,0,0,0,"2015","5","LC-02",2015-05-01
"2",0,0,0,0,0,0,"1",0,0,0,"1080",0,0,"3","3",0,0,"1",0,0,0,0,"2",0,"1",0,0,0,0,0,0,0,0,0,"5",0,0,"1",0,0,0,0,"1","48",0,0,"72","12",0,0,0,0,0,0,0,0,0,0,0,0,"2015","5","LC-03",2015-05-01
"6",0,"23",0,0,0,0,"6",0,0,"3","2280",0,0,"5","11",0,0,0,0,0,0,0,"19","16",0,0,0,0,0,0,0,0,"6",0,0,"6",0,"2",0,0,0,0,0,"51",0,0,"112","48","8","2","1",0,0,0,0,0,0,0,0,0,"2015","5","LC-04",2015-05-01
"3",0,0,0,0,0,0,"1",0,0,0,"768",0,0,"7","5",0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,"3",0,"3","1",0,"2","1",0,0,0,0,"58",0,0,"51",0,"3",0,0,0,0,0,0,0,0,0,0,0,"2015","5","LC-05",2015-05-01
"2",0,"3",0,0,0,0,"2",0,0,0,"252",0,0,"1",0,0,0,"2",0,0,0,0,"2","1","1",0,0,0,0,0,0,0,"7",0,"4",0,0,0,"1",0,0,0,0,"12",0,0,"18","4","2",0,"3",0,0,0,0,0,0,0,0,0,"2015","6","LC-01",2015-06-01
0,0,"4",0,0,0,0,0,0,0,0,"124",0,0,0,"1",0,0,"1",0,0,0,0,"3","1","2",0,0,0,"1",0,0,0,"6",0,"5","5",0,"2",0,0,0,0,"1","14",0,0,"8","15","1","1",0,"3",0,0,0,0,0,0,0,0,"2015","6","LC-02",2015-06-01
"2",0,0,0,0,0,0,"1",0,0,0,"128",0,0,"2","1",0,0,"1",0,0,0,0,"4",0,"1",0,0,0,0,0,0,0,0,0,"6","2",0,0,"2",0,0,0,"1","15",0,0,"12","6",0,0,0,0,0,0,0,0,0,0,0,0,"2015","6","LC-03",2015-06-01
"2",0,"18",0,0,0,0,"5",0,0,0,"275",0,0,0,0,0,0,0,0,0,0,0,"3","2",0,0,0,0,0,0,0,0,"7",0,0,"4",0,"1","1",0,0,0,0,"11",0,0,"14","12","2",0,"1",0,0,0,0,0,0,0,0,0,"2015","6","LC-04",2015-06-01
"1",0,0,0,0,0,0,"2",0,0,0,"235",0,0,0,"2",0,0,0,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,"4",0,"4","2",0,0,0,0,0,0,0,"12",0,0,"12",0,"3","1",0,0,0,0,0,0,0,0,0,0,"2015","6","LC-05",2015-06-01
0,0,"6",0,"4",0,0,"1",0,0,0,"182",0,0,"9",0,0,0,0,0,"11",0,0,"2",0,0,0,0,0,0,"3",0,0,"5",0,"12","3",0,"3",0,0,"2",0,0,"6",0,0,"14","3","5","1",0,0,0,0,0,0,"10",0,0,0,"2015","7","LC-01",2015-07-01
0,0,"4",0,"2",0,0,"1",0,0,0,"1440",0,0,"6","3",0,0,0,0,"1",0,0,"4",0,0,0,0,0,"3","2",0,0,"19",0,"7",0,0,"4","4",0,0,0,"2","9","2",0,"23",0,"2",0,0,0,0,0,0,0,"2",0,0,0,"2015","7","LC-02",2015-07-01
"7",0,"7",0,"3",0,0,"3",0,0,"2","210",0,0,"2","2",0,0,"2",0,"3","3",0,"4",0,0,0,0,0,"3",0,0,0,"44",0,"7","6",0,"1",0,0,"1",0,"2","8","31",0,"16",0,"2","3","3",0,0,0,0,0,"3",0,0,0,"2015","7","LC-03",2015-07-01
"3",0,"13",0,0,0,0,0,0,0,0,"211",0,0,"8","2",0,0,0,0,0,"3",0,"3",0,0,0,0,0,"4",0,0,0,"9",0,0,"3",0,"2","2",0,0,0,"1","12","17",0,"17",0,0,0,"4",0,0,0,0,0,"2",0,0,0,"2015","7","LC-04",2015-07-01
0,0,"36",0,"2",0,0,"7",0,0,0,"71",0,0,"2","3","13",0,"2",0,"4",0,0,"196",0,0,0,"3",0,"14",0,0,"3","156",0,"23",0,0,"13","2","3",0,0,"2","72","196",0,"16","3",0,0,"2",0,0,0,0,0,"2",0,"3",0,"2015","7","LC-05",2015-07-01
"4",0,"4",0,0,0,0,"2",0,0,0,"48",0,0,0,0,"1",0,0,0,0,0,0,"7",0,0,0,0,0,"5",0,0,"4","3",0,"4",0,0,0,"1",0,0,0,0,0,0,0,"4",0,"4",0,0,0,0,0,0,0,"4",0,0,0,"2015","8","LC-01",2015-08-01
0,0,0,0,0,0,0,0,0,0,0,"2",0,0,"3",0,"5",0,"2",0,"3",0,0,"1",0,0,0,0,0,"6",0,0,0,"8",0,0,0,0,"2",0,0,0,0,"3",0,"3",0,"3",0,"2",0,0,0,0,0,0,0,0,0,0,0,"2015","8","LC-02",2015-08-01
"1",0,0,0,"2",0,0,"1","4",0,0,"27",0,0,"3",0,"3",0,0,0,0,0,0,"4",0,0,0,0,0,0,0,0,0,"1",0,"3",0,0,0,"1",0,0,0,"3",0,"7",0,"11",0,"1",0,0,0,0,0,0,0,0,0,"1",0,"2015","8","LC-03",2015-08-01
"4",0,"9",0,"2",0,0,"1","9",0,0,"80",0,0,"13","3","6",0,"1",0,"1",0,0,"8",0,0,0,0,0,"11",0,0,0,"52",0,"5","7",0,"2","1",0,0,0,"1","1","26",0,"18",0,"13","3","11",0,0,0,0,0,"1",0,"4",0,"2015","8","LC-04",2015-08-01
"2",0,"8",0,0,0,0,"1","2",0,0,"62",0,0,"8",0,"2",0,"1",0,"1",0,0,"2",0,0,0,"1",0,0,0,0,0,"12",0,"4","2",0,"1","1",0,0,0,"2",0,"12",0,"9",0,"4","2","8",0,0,0,0,0,"1",0,0,0,"2015","8","LC-05",2015-08-01
"1",0,"7",0,0,"13",0,"3",0,0,0,"12",0,0,0,0,0,0,0,0,0,0,0,"9",0,0,0,"4",0,0,0,0,0,0,0,0,"1","47",0,0,"7","3",0,"3",0,0,0,"4",0,0,"1",0,0,0,0,0,0,0,0,0,0,"2015","9","LC-01",2015-09-01
0,0,0,0,0,"5",0,0,"3",0,0,"9",0,0,0,0,"5",0,0,0,0,0,0,"2","1",0,0,0,0,0,0,0,"2","10",0,0,0,"40",0,0,"2",0,0,"9",0,0,0,"9",0,"11",0,0,0,0,0,0,0,"6",0,0,0,"2015","9","LC-02",2015-09-01
0,0,0,0,0,"11",0,0,0,0,0,"18",0,0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7",0,0,0,"151",0,0,0,0,0,0,0,0,0,"4",0,"12","1","1",0,0,0,0,0,0,0,0,0,"2015","9","LC-03",2015-09-01
0,0,0,0,0,0,0,0,0,0,0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","3",0,0,"12","12",0,0,"3",0,0,0,0,0,0,"3",0,"3",0,0,0,0,0,0,0,"22",0,0,0,"2015","9","LC-04",2015-09-01
0,0,0,0,0,"15",0,0,0,0,0,"11",0,0,0,0,0,0,0,0,0,0,0,"1",0,0,0,"2",0,0,0,0,0,"16",0,0,0,"53",0,0,"1",0,0,"9",0,0,0,"13",0,"3",0,"4",0,0,0,0,0,"7",0,0,0,"2015","9","LC-05",2015-09-01
"2",0,0,0,0,"13",0,"2",0,0,0,"26",0,0,0,0,0,0,0,0,0,0,0,"10",0,0,0,0,0,"7",0,0,0,"6",0,0,"5","104",0,0,0,0,0,0,"13",0,0,"8",0,"3",0,0,0,0,0,0,0,0,0,0,0,"2015","10","LC-01",2015-10-01
"3",0,"7",0,0,"12",0,"3",0,0,0,"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52",0,0,"8","161","2",0,0,0,0,"11","5",0,0,"7",0,"8",0,0,0,0,0,0,0,"3",0,0,0,"2015","10","LC-02",2015-10-01
"3",0,"6",0,0,"11",0,0,0,0,0,"24",0,0,0,0,0,0,0,0,0,0,0,"8",0,0,0,0,0,"8",0,0,0,"12",0,"3","6","139","2",0,0,0,0,"3","7",0,0,"16",0,"7",0,"3",0,0,0,0,0,0,0,0,0,"2015","10","LC-03",2015-10-01
"1",0,0,0,0,"7",0,"2",0,0,0,"408",0,0,"10",0,0,0,0,0,"2",0,0,"8",0,0,0,0,0,"3",0,0,0,0,0,0,"8","814",0,0,0,0,0,0,"16",0,0,"35",0,0,0,"3",0,0,0,0,0,"11",0,0,0,"2015","10","LC-04",2015-10-01
"13",0,"12",0,"6","17",0,"6",0,0,0,"376",0,0,"21",0,0,0,0,0,"2",0,0,"12",0,0,0,0,0,"17",0,0,0,"33",0,"3","22","817","3",0,0,0,0,"2","16",0,0,"45",0,"14",0,0,0,0,0,0,0,"12",0,0,0,"2015","10","LC-05",2015-10-01
"1",0,"5",0,0,"8",0,"3","1",0,0,"522",0,0,"4",0,0,0,"2",0,0,0,0,"9",0,"1",0,0,0,0,"7",0,0,"5",0,"1","5","185",0,"2",0,0,0,"2","29","1",0,"36",0,"7","2",0,"5",0,0,0,0,0,"2","2",0,"2015","11","LC-01",2015-11-01
"1",0,"11",0,0,"4",0,"2",0,0,"2","601",0,0,"12",0,0,0,"6",0,0,0,0,"7",0,"2",0,0,0,"2","11",0,0,"9",0,"6","1","178","2","4",0,"1",0,"3","31",0,0,"66",0,"5",0,0,"2",0,0,0,0,0,0,0,0,"2015","11","LC-02",2015-11-01
"2",0,"2",0,0,"2",0,0,"2",0,"1","187",0,"3","9","2",0,0,"5",0,"12",0,0,"8",0,0,0,0,0,"2","2",0,0,"10",0,"5","5","210","2","1","1","1",0,"3","32","3",0,"19",0,"9",0,"2","1",0,0,0,0,0,"1","1",0,"2015","11","LC-03",2015-11-01
0,0,"5",0,0,"3",0,"2",0,0,0,"452",0,0,"3","1",0,0,"3",0,"3",0,0,"5",0,"1",0,0,0,"4","9",0,0,"5",0,"3","2","210","1",0,"1","2",0,"2","29","1",0,"51",0,"4",0,"1",0,0,0,"2",0,0,"1","1",0,"2015","11","LC-04",2015-11-01
0,0,"2",0,0,"6",0,"3",0,0,"2","465",0,0,"5",0,0,0,"1",0,"1",0,0,"8",0,"2",0,0,0,"3","4",0,0,"8",0,"4","8","199","3",0,"3","4",0,0,"22",0,0,"58",0,"14","2","1","2",0,0,0,0,0,0,"3",0,"2015","11","LC-05",2015-11-01
0,0,"3",0,"1",0,0,0,0,0,0,"81",0,0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11",0,0,"2",0,0,0,0,0,0,0,0,0,"1","8",0,0,"17",0,0,0,0,"1",0,0,0,0,0,0,0,"1","2015","12","LC-01",2015-12-01
0,0,"9","4","2",0,0,"3",0,0,0,"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","3","15",0,0,"12",0,"2","7",0,"2",0,0,0,0,0,"14","2",0,"3",0,"6",0,0,"3",0,0,0,0,"11",0,0,0,"2015","12","LC-02",2015-12-01
0,0,"3","1",0,0,0,"1",0,0,0,"325",0,0,"11",0,"4",0,0,0,0,0,0,"3",0,0,0,0,0,0,0,0,0,"12",0,0,"1","27",0,0,"3",0,0,0,"6",0,0,"21",0,"2",0,0,0,0,0,0,0,0,0,0,0,"2015","12","LC-03",2015-12-01
0,0,"4",0,0,0,0,0,0,0,"1","137",0,0,"6",0,"3",0,0,0,0,0,0,"2",0,0,0,0,0,0,0,0,0,"3",0,0,"3","18",0,0,"1",0,0,0,"2","1",0,"5",0,0,0,0,"2",0,0,0,0,"1",0,0,0,"2015","12","LC-04",2015-12-01
